iter	Passed	Remaining
415	3028	4251
416	3035	4244
417	3042	4236
418	3050	4230
419	3059	4224
420	3067	4219
421	3076	4213
422	3083	4205
423	3091	4199
424	3098	4192
425	3106	4186
426	3114	4179
427	3123	4173
428	3130	4166
429	3138	4159
430	3145	4152
431	3152	4144
432	3159	4136
433	3167	4130
434	3174	4122
435	3180	4114
436	3186	4105
437	3194	4098
438	3200	4089
439	3207	4081
440	3213	4073
441	3220	4065
442	3227	4058
443	3234	4050
444	3241	4042
445	3247	4034
446	3254	4026
447	3260	4017
448	3268	4010
449	3274	4001
450	3280	3992
451	3287	3985
452	3294	3977
453	3300	3969
454	3306	3960
455	3313	3953
456	3320	3945
457	3328	3938
458	3334	3930
459	3341	3922
460	3348	3915
461	3355	3907
462	3363	3900
463	3369	3892
464	3375	3883
465	3382	3876
466	3389	3867
467	3395	3859
468	3401	3851
469	3408	3843
470	3415	3836
471	3422	3828
472	3429	3821
473	3436	3813
474	3443	3806
475	3449	3797
476	3455	3789
477	3462	3781
478	3468	3772
479	3474	3763
480	3480	3755
481	3487	3747
482	3492	3738
483	3500	3732
484	3507	3724
485	3515	3717
486	3523	3711
487	3530	3704
488	3537	3696
489	3544	3688
490	3551	3681
491	3558	3674
492	3565	3667
493	3571	3658
494	3577	3649
495	3584	3642
496	3590	3634
497	3596	3625
498	3604	3618
499	3613	3613
500	3624	3609
501	3631	3602
502	3638	3595
503	3644	3586
504	3649	3577
505	3657	3570
506	3664	3563
507	3670	3554
508	3676	3546
509	3685	3540
510	3691	3532
511	3698	3525
512	3706	3518
513	3712	3510
514	3717	3501
515	3724	3493
516	3732	3486
517	3739	3479
518	3747	3473
519	3755	3466
520	3762	3458
521	3769	3451
522	3777	3444
523	3784	3437
524	3792	3431
525	3821	3443
526	3832	3439
527	3842	3435
528	3856	3433
529	3868	3430
530	3882	3429
531	3892	3424
532	3904	3421
533	3915	3417
534	3925	3411
535	3941	3411
536	3950	3405
537	3958	3399
538	3965	3391
539	3972	3383
540	3980	3377
541	3987	3369
542	3999	3366
543	4006	3358
544	4014	3351
545	4021	3344
546	4028	3336
547	4038	3330
548	4047	3324
549	4056	3318
550	4064	3312
551	4073	3306
552	4081	3299
553	4089	3292
554	4112	3297
555	4121	3291
556	4130	3285
557	4139	3278
558	4147	3271
559	4157	3266
560	4164	3259
561	4172	3252
562	4181	3245
563	4188	3237
564	4196	3230
565	4204	3223
566	4211	3216
567	4219	3208
568	4228	3202
569	4236	3196
570	4245	3189
571	4252	3181
572	4257	3172
573	4263	3163
574	4270	3156
575	4277	3148
576	4283	3140
577	4291	3132
578	4298	3125
579	4304	3116
580	4311	3109
581	4317	3101
582	4325	3094
583	4334	3087
584	4343	3081
585	4351	3074
586	4359	3067
587	4367	3060
588	4375	3052
589	4380	3044
590	4389	3037
591	4396	3029
592	4402	3021
593	4409	3013
594	4415	3005
595	4422	2998
596	4430	2990
597	4438	2983
598	4445	2976
599	4453	2968
600	4459	2960
601	4466	2953
602	4473	2944
603	4479	2936
604	4485	2928
605	4492	2920
606	4498	2912
607	4506	2905
608	4512	2897
609	4519	2889
610	4525	2881
611	4533	2874
612	4540	2866
613	4547	2858
614	4553	2850
615	4560	2842
616	4566	2834
617	4572	2826
618	4579	2818
619	4585	2810
620	4592	2802
621	4598	2794
622	4604	2786
623	4610	2778
624	4617	2770
625	4625	2763
626	4631	2755
627	4637	2747
628	4645	2740
629	4652	2732
630	4658	2724
631	4666	2717
632	4672	2709
633	4678	2700
634	4684	2692
635	4690	2684
636	4696	2676
637	4703	2668
638	4709	2660
639	4716	2652
640	4723	2645
641	4729	2637
642	4736	2629
643	4744	2622
644	4751	2614
645	4758	2607
646	4764	2599
647	4770	2591
648	4777	2583
649	4784	2576
650	4791	2568
651	4797	2560
652	4803	2552
653	4809	2544
654	4816	2537
655	4825	2530
656	4834	2523
657	4842	2516
658	4849	2509
659	4857	2502
660	4864	2494
661	4870	2486
662	4878	2479
663	4887	2473
664	4894	2465
665	4902	2458
666	4909	2451
667	4916	2443
668	4922	2435
669	4929	2427
670	4937	2420
671	4944	2413
672	4951	2405
673	4959	2398
674	4965	2390
675	4972	2383
676	4990	2381
677	5006	2377
678	5015	2371
679	5026	2365
680	5034	2358
681	5042	2351
682	5051	2344
683	5060	2337
