iter	RMSE
561	867.8644824
562	866.6637914
563	865.4208906
564	864.8217946
565	864.0761072
566	862.0830574
567	860.8792125
568	859.6499916
569	858.4483974
570	856.9665842
571	855.5912215
572	855.052402
573	854.293166
574	852.8479282
575	852.1822087
576	851.4811194
577	851.1335075
578	849.8798407
579	848.7760122
580	847.8041799
581	846.8740335
582	845.1338782
583	843.9504975
584	842.8977609
585	842.0345019
586	840.5760514
587	839.4958409
588	838.5442564
589	837.5663332
590	836.4386392
591	835.2682976
592	834.2081423
593	833.4592733
594	832.1354365
595	831.6259938
596	831.3033964
597	830.6185271
598	829.1342748
599	828.427971
600	828.1174153
601	826.9464149
602	825.8395345
603	824.6881475
604	823.6551599
605	822.9854406
606	822.2878814
607	821.3696349
608	820.5317679
609	820.1128749
610	819.3484887
611	818.270866
612	817.0088597
613	816.5145134
614	815.5051354
615	814.6243438
616	814.0929478
617	812.9667317
618	812.4546538
619	811.4039213
620	810.5371906
621	809.9234266
622	809.0052678
623	808.397911
624	807.372204
625	806.1896119
626	805.5415159
627	804.9682432
628	804.116405
629	803.2391577
630	802.0228593
631	801.0068443
632	799.9634763
633	799.3337796
634	798.3591935
635	797.5868516
636	796.5872876
637	796.0512448
638	795.6301144
639	794.6900222
640	793.9029849
641	793.0275716
642	792.2907537
643	791.6321261
644	790.8671317
645	790.1377256
646	788.8903517
647	787.8499297
648	787.3082157
649	786.5788972
650	785.765181
651	785.3091024
652	784.5359654
653	784.0888498
654	782.8146473
655	782.0050695
656	780.9658934
657	780.1329728
658	779.5825225
659	778.8104548
660	778.1254695
661	777.3770964
662	776.5779154
663	775.9955767
664	774.8310209
665	773.8129524
666	773.2469992
667	772.4660054
668	771.6376214
669	771.2222073
670	770.3904717
671	769.4623951
672	768.3630181
673	767.4465595
674	767.0582062
675	766.5838752
676	765.8630455
677	764.5470869
678	763.8379364
679	762.3387555
680	761.7936726
681	761.1397891
682	760.2736808
683	759.6957
684	759.1924594
685	758.4900969
686	758.1473258
687	757.2971802
688	756.3763247
689	755.1658804
690	754.5540851
691	753.8242118
692	753.1700717
693	751.8892201
694	750.4923632
695	749.8127748
696	748.9256001
697	747.9182175
698	747.1324585
699	746.040397
700	745.1001075
701	744.4796116
702	743.7036951
703	742.6095318
704	742.1039301
705	741.4309414
706	740.1277279
707	739.5146049
708	738.8074045
709	738.5295791
710	738.1393818
711	737.369249
712	736.3745287
713	735.8622226
714	735.1365693
715	734.1998464
716	733.8964176
717	733.4552717
718	732.6402454
719	731.2241626
720	730.9918912
721	730.2229969
722	729.0667702
723	728.8464665
724	727.337589
725	726.188356
726	725.8424116
727	725.2464933
728	724.5834888
729	723.8889267
730	723.2704396
731	722.372258
732	721.9587591
733	720.5909203
734	719.8322986
735	718.8832403
736	717.5073951
737	716.8885123
738	716.4641289
739	715.8177394
740	714.7639759
741	713.7043828
742	713.0007565
743	711.8061728
744	711.3685411
745	710.6259538
746	710.0159077
747	709.4968772
748	708.3724423
749	708.0091642
750	707.1048586
751	706.2502944
752	706.111622
753	705.8053687
754	705.4050237
755	705.0305585
756	704.7008719
757	703.9778246
758	703.2134144
759	702.8919747
760	702.5103729
761	701.729058
762	701.207947
763	701.0423699
764	700.3649072
765	699.7708365
766	699.0491443
767	698.1869685
768	697.7937233
769	696.8895128
770	696.4289513
771	695.8579793
772	695.7749442
773	695.0520763
774	694.4494128
775	693.6271039
776	692.8215391
777	692.1147307
778	691.3700885
779	690.6052739
780	689.6237641
781	689.0927963
782	688.7591951
783	688.2284282
784	687.7689339
785	686.7909699
786	685.7106056
787	684.611358
788	683.8102472
789	683.2332094
790	682.7641405
791	681.7898281
792	681.1311159
793	680.2773447
794	679.9534221
795	679.256903
796	678.6409179
797	678.0408373
798	677.5946867
799	677.0554766
800	676.359001
801	675.6925884
802	674.8858831
803	674.4388171
804	673.7402158
805	673.0718738
806	672.364545
807	671.7772063
808	671.2442116
809	670.864974
810	670.3721871
811	669.9181725
812	669.1692918
813	668.5294836
814	667.5383408
815	667.0768257
816	666.3270825
817	665.9921266
818	665.6854332
819	665.1068228
820	664.2775605
821	663.7237548
822	663.2835819
823	662.9188423
824	662.7552793
825	662.5167053
826	661.8788222
827	661.3799135
828	660.8999171
829	660.2565226
830	659.7232322
831	658.9208577
832	658.2409885
833	657.7409891
834	657.0694812
835	656.6137505
836	656.1789733
837	655.6806887
838	655.2975678
839	654.566217
840	653.9201272
841	653.5051928
842	653.0469887
843	652.7744202
844	652.0116584
845	651.2614646
846	650.5693806
847	650.1670982
848	649.3657183
849	648.787835
850	648.4077442
851	647.969831
852	647.8234154
853	647.227455
854	646.561089
855	646.1347906
856	645.5878348
857	644.9450237
858	644.1698584
859	643.6724695
860	643.1619511
861	643.0310448
862	642.1955877
863	641.6898291
864	641.3992592
865	640.8974552
866	639.7396343
867	639.1526318
868	638.5438334
869	638.073069
870	637.5109096
871	637.2800544
872	636.9753548
873	636.2487465
874	635.3877701
875	634.9648338
876	634.4053438
877	634.0849561
878	633.3462308
879	632.4206378
880	632.0258972
881	631.6396203
882	631.2425339
883	630.761855
884	630.3622694
885	629.6720081
886	629.4920809
887	629.0354541
888	628.3458321
889	628.0089128
890	627.5235888
891	627.0058399
892	626.7918993
893	626.3835318
894	625.9958595
895	625.4446663
896	624.625826
897	624.1493272
898	623.8802684
899	623.4485728
900	623.1208299
901	622.708701
902	622.1077877
903	621.8992342
904	621.4368323
905	621.2743001
906	620.708397
907	620.1667566
908	619.9040221
909	619.2374929
910	618.5769504
911	617.9703151
912	617.6696719
913	616.981958
914	616.4839855
915	616.0771932
916	615.2088248
917	614.7602121
918	614.5138782
919	613.9318181
920	613.5405347
921	613.2262805
922	612.8006779
923	612.6960584
924	611.9678125
925	611.4701568
926	611.0759153
927	610.6043171
928	610.1476806
929	609.6462341
930	609.4017959
931	608.5395662
932	607.967988
933	607.7829191
934	607.2462047
935	606.9270331
936	606.3778466
937	605.8410534
938	605.4270285
939	604.9543597
940	604.4202714
941	603.8797923
942	603.6524396
943	603.314452
944	602.6770755
945	602.136713
946	601.7785162
947	601.5147989
948	600.9708917
949	600.5832866
950	600.2096236
951	599.8671804
952	599.003243
953	598.6249871
954	598.1877573
955	597.7403457
956	597.6084746
957	597.2698935
958	596.7516233
959	596.1924884
960	595.7911011
961	595.1730305
962	594.6786903
963	594.506569
964	594.220965
965	593.9756216
966	593.633319
967	593.3077051
968	592.8806731
969	592.3963393
970	592.0012039
971	591.8001218
972	591.5898715
973	591.3934005
974	590.5429361
975	590.1896446
976	589.8125348
977	589.4375621
978	588.8858748
979	588.6700409
980	587.974804
981	587.4983935
982	587.1510843
983	586.6008424
984	586.3413839
985	585.8894437
986	585.5199469
987	584.742698
988	584.3752149
989	583.9938125
990	583.3458547
991	582.4907654
992	582.2178447
993	582.0081711
994	581.519949
995	581.1025398
996	580.6155215
997	580.1782086
998	579.6969017
999	579.5500931
